<UNK> 1.0	sil
est 1.0	ei 
est 1.0	ei tt 
est-il 1.0	ai ss tt ii ll 
estidyéz 1.0	ai ss tt ii dd ii 
euh 1.0	eu 
euro 1.0	eu rr au 
exactement 1.0	ai gg zz aa kk tt ee mm an 
exactement 1.0	ai gg zz aa kk tt ee mm an tt 
exactement 1.0	ai gg zz aa kk tt mm an 
exactement 1.0	ai gg zz aa kk tt mm an tt 
faire 1.0	ff ai rr 
fait 1.0	ff ai 
fait 1.0	ff ai tt 
famille 1.0	ff aa mm ii yy 
familles 1.0	ff aa mm ii yy 
familles 1.0	ff aa mm ii yy zz 
fanm 1.0	ff an mm 
fanmi 1.0	ff an mm ii 
fannm 1.0	ff an nn mm 
farin 1.0	ff aa rr in 
farin 1.0	ff aa rr in nn 
fason 1.0	ff aa zz on 
fason 1.0	ff aa zz on nn 
fasèt 1.0	ff aa 
fasèt 1.0	ff aa zz 
faut 1.0	ff au 
faut 1.0	ff au tt 
façon 1.0	ff aa 
fen 1.0	ff ai nn 
fenfon 1.0	ff an ff on 
fenfon 1.0	ff an ff on nn 
festif 1.0	ff ai ss tt ii ff 
festive 1.0	ff ai ss tt ii vv 
fey 1.0	ff ii 
fi 1.0	ff ii 
fidèlité 1.0	ff ii 
fidèlité 1.0	ff ii tt 
fier 1.0	ff yy ai rr 
fier 1.0	ff yy ei 
fifi 1.0	ff ii ff ii 
fiks 1.0	ff ii kk 
fiks 1.0	ff ii kk zz 
fil 1.0	ff ii ll 
fils 1.0	ff ii ss 
filyè 1.0	ff ii ll ii 
fim 1.0	ff ii mm 
fin 1.0	ff in 
fin 1.0	ff in nn 
finalman 1.0	ff ii nn aa ll mm an 
finalman 1.0	ff ii nn aa ll mm an nn 
fini 1.0	ff ii nn ii 
fininalman 1.0	ff ii nn ii nn aa ll mm an 
fininalman 1.0	ff ii nn ii nn aa ll mm an nn 
finn 1.0	ff ii nn 
fisèl 1.0	ff ii 
fisèl 1.0	ff ii zz 
fiyè 1.0	ff yy ii 
fo 1.0	ff au 
fois 1.0	ff ww aa 
fois 1.0	ff ww aa zz 
fon 1.0	ff on 
fon 1.0	ff on nn 
fonksyon 1.0	ff on kk ss yy on 
fonksyon 1.0	ff on kk ss yy on nn 
formation 1.0	ff oo rr mm aa ss yy on 
formation 1.0	ff oo rr mm aa ss yy on nn 
forme 1.0	ff oo rr mm 
forme 1.0	ff oo rr mm ee 
foto 1.0	ff oo tt au 
four 1.0	ff ou rr 
foutbòl 1.0	ff ou tt bb 
fouté 1.0	ff ou 
fouté 1.0	ff ou tt 
france 1.0	ff rr an ss 
francesca 1.0	ff rr an ss ai ss kk aa 
franchman 1.0	ff rr an kk mm an 
franchman 1.0	ff rr an kk mm an nn 
franky 1.0	ff rr an kk ii 
frans 1.0	ff rr an 
frans 1.0	ff rr an zz 
fransè 1.0	ff rr an 
fransè 1.0	ff rr an zz 
fransèz 1.0	ff rr an 
fransèz 1.0	ff rr an zz 
fransé 1.0	ff rr an 
fransé 1.0	ff rr an zz 
fri 1.0	ff rr ii 
frijidè 1.0	ff rr ii jj ii 
frijidè 1.0	ff rr ii jj ii tt 
frikasé 1.0	ff rr ii kk aa 
frikasé 1.0	ff rr ii kk aa zz 
frui 1.0	ff rr uy ii 
fréné 1.0	ai ff ai rr 
fur 1.0	ff uu rr 
fwa 1.0	ff ww aa 
fwèt 1.0	ff ww 
fyè 1.0	ff ii 
fyèté 1.0	ff ii 
fè 1.0	ai ff 
fè-y 1.0	ai ff 
fèmé 1.0	ai ff 
fèmété 1.0	ai ff 
fès 1.0	ai ff 
fèt 1.0	ai ff 
fényan 1.0	ai ff 
fété 1.0	ai ff 
févriyé 1.0	ai ff 
fête 1.0	ai ff 
fêtes 1.0	ai ff 
fò 1.0	ai ff 
fòm 1.0	ai ff 
fòs 1.0	ai ff 
fòséman 1.0	ai ff 
fòséw 1.0	ai ff 
gadé 1.0	gg aa 
gadé 1.0	gg aa tt 
gadé-y 1.0	gg aa 
gadé-y 1.0	gg aa tt 
galante 1.0	gg aa ll an tt 
galba 1.0	gg aa ll bb aa 
gare 1.0	gg aa rr 
gason 1.0	gg aa zz on 
gason 1.0	gg aa zz on nn 
gato 1.0	gg aa tt au 
gaté 1.0	gg aa 
gaté 1.0	gg aa tt 
gaté-y 1.0	gg aa 
gaté-y 1.0	gg aa tt 
gaté; 1.0	gg aa 
gaté; 1.0	gg aa tt 
gay 1.0	gg ai 
gaël 1.0	gg aa 
gdcf 1.0	gg dd kk ff 
gentihomme 1.0	jj an tt yy oo mm 
giscard 1.0	jj ii ss kk aa rr 
giscard 1.0	jj ii ss kk aa rr tt 
gita 1.0	jj ii tt aa 
gomon 1.0	gg oo mm on 
gomon 1.0	gg oo mm on nn 
gou 1.0	gg ou 
goumé 1.0	gg ou mm 
gouvènèman 1.0	gg ou vv 
gouvènéman 1.0	gg ou vv 
goyav 1.0	gg oo yy aa vv 
gra 1.0	gg rr aa 
graj 1.0	gg rr aa jj 
gran 1.0	gg rr an 
gran 1.0	gg rr an nn 
grand 1.0	gg rr an 
grand 1.0	gg rr an tt 
grande 1.0	gg rr an dd 
grandes 1.0	gg rr an dd 
grandes 1.0	gg rr an dd zz 
grandi 1.0	gg rr an dd ii 
grands 1.0	gg rr an 
grands 1.0	gg rr an zz 
granmoun 1.0	gg rr an mm ou nn 
gras 1.0	gg rr aa 
gras 1.0	gg rr aa zz 
gratuitman 1.0	gg rr aa tt uy ii tt mm an 
gratuitman 1.0	gg rr aa tt uy ii tt mm an nn 
griy 1.0	gg rr ii ii 
griyad 1.0	gg rr ii yy aa 
griyad 1.0	gg rr ii yy aa tt 
griyo 1.0	gg rr ii yy au 
griyé 1.0	gg rr ii ii 
griz 1.0	gg rr ii 
griz 1.0	gg rr ii zz 
gro 1.0	gg rr au 
guadeloupe 1.0	gg ww aa dd ee ll ou pp 
guadeloupe 1.0	gg ww aa dd ll ou pp 
guadloupéen 1.0	gg ww aa dd ll ou 
guadloupéen 1.0	gg ww aa dd ll ou pp 
guiyan 1.0	gg ii yy an 
guiyan 1.0	gg ii yy an nn 
guyan 1.0	gg uu yy an 
guyan 1.0	gg uu yy an nn 
gwada 1.0	gg ww aa dd aa 
gwadeloup 1.0	gg ww aa dd ee ll ou 
gwadeloup 1.0	gg ww aa dd ee ll ou pp 
gwadeloup 1.0	gg ww aa dd ll ou 
gwadeloup 1.0	gg ww aa dd ll ou pp 
gwadloup 1.0	gg ww aa dd ll ou 
gwadloup 1.0	gg ww aa dd ll ou pp 
gwadoup 1.0	gg ww aa dd ou 
gwadoup 1.0	gg ww aa dd ou pp 
gwo 1.0	gg ww au 
gwoka 1.0	gg ww oo kk aa 
gwopi 1.0	gg ww oo pp ii 
gèrié 1.0	jj ei 
gèrié 1.0	jj ei kk 
gèy 1.0	jj ei 
gèy 1.0	jj ei kk 
h 1.0	aa ch 
ha 1.0	aa 
hello 1.0	ai ll au 
hercule 1.0	ai rr kk uu ll 
hispanophones 1.0	ii ss pp aa nn oo ff oo nn 
hispanophones 1.0	ii ss pp aa nn oo ff oo nn zz 
hum 1.0	oe mm 
humaine 1.0	uu mm ai nn 
humhum 1.0	un oo mm 
i 1.0	ii 
idantité 1.0	ii dd an tt ii 
idantité 1.0	ii dd an tt ii tt 
idé 1.0	ii 
idé 1.0	ii tt 
idée 1.0	ii 
idée 1.0	ii tt 
ifo 1.0	ii ff au 
il 1.0	ii ll 
ilitizé 1.0	ii ll ii tt ii 
ilitizé 1.0	ii ll ii tt ii zz 
ils 1.0	ii ll 
ils 1.0	ii ll zz 
imaj 1.0	ii mm aa jj 
in 1.0	ii nn 
indiens 1.0	in dd yy in 
indiens 1.0	in dd yy in zz 
indépendants 1.0	in 
indépendants 1.0	in tt 
infections 1.0	in ff ai kk ss yy on 
infections 1.0	in ff ai kk ss yy on zz 
inikman 1.0	ii nn ii kk mm an 
inikman 1.0	ii nn ii kk mm an nn 
intérêt 1.0	in 
intérêt 1.0	in tt 
inè 1.0	ii nn 
irresponsable 1.0	ii rr ai ss pp on ss aa bb ll 
irresponsable 1.0	ii rr ai ss pp on ss aa bb ll ee 
isi 1.0	ii zz ii 
issu 1.0	ii ss uu 
istorik 1.0	ii ss tt oo rr ii kk 
istwa 1.0	ii ss tt ww aa 
itilize-y 1.0	ii tt ii ll ii zz ii 
itilizé 1.0	ii tt ii ll ii 
itilizé 1.0	ii tt ii ll ii zz 
itilizé-y 1.0	ii tt ii ll ii 
itilizé-y 1.0	ii tt ii ll ii zz 
ivèr 1.0	ii vv 
j'ai 1.0	jj ai 
ja 1.0	jj aa 
jai 1.0	jj ai 
jalou 1.0	jj aa ll ou 
jan 1.0	jj an 
jan 1.0	jj an nn 
jaélia 1.0	jj aa 
je 1.0	jj 
je 1.0	jj ee 
jen 1.0	jj ai nn 
jessica 1.0	jj ei ss ii kk aa 
jet 1.0	jj ai 
jet 1.0	jj ai tt 
jin 1.0	jj in 
jin 1.0	jj in nn 
jis 1.0	jj ii 
jis 1.0	jj ii zz 
jisk 1.0	jj ii ss kk 
jisk 1.0	jj ii ss kk ee 
jiska 1.0	jj ii ss kk aa 
jisko 1.0	jj ii ss kk au 
jistéman 1.0	jj ii ss tt 
jiyè 1.0	jj yy ii 
jod 1.0	yy oo dd 
jod 1.0	yy oo dd tt 
jodi 1.0	jj oo dd ii 
jodijou 1.0	jj oo dd ii jj ou 
jodla 1.0	jj oo dd ll aa 
jolinèt 1.0	jj oo ll in 
jolinèt 1.0	jj oo ll in nn 
jou 1.0	jj ou 
joudijou 1.0	jj ou dd ii jj ou 
justement 1.0	jj uu ss tt ee mm an 
justement 1.0	jj uu ss tt ee mm an tt 
justement 1.0	jj uu ss tt mm an 
justement 1.0	jj uu ss tt mm an tt 
jwayéz 1.0	jj ww aa ii 
jwenn 1.0	jj ww an nn 
jwé 1.0	jj ww 
jà 1.0	jj ii 
jèm 1.0	jj ii 
jèn 1.0	jj ii 
jé 1.0	jj ii 
jénéral 1.0	jj ii 
jénéralman 1.0	jj ii 
jénérasyon 1.0	jj ii 
jòdijou 1.0	jj ii 
jòdla 1.0	jj ii 
k'an 1.0	kk an 
k'an 1.0	kk an nn 
k'ay 1.0	kk aa ii 
ka 1.0	kk aa 
kabwa 1.0	kk aa bb ww aa 
kado 1.0	kk aa dd au 
kadré-y 1.0	kk aa dd rr 
kadré-y 1.0	kk aa dd rr ee 
kadè 1.0	kk aa 
kadè 1.0	kk aa tt 
kai 1.0	kk ai 
kalaja 1.0	kk aa ll aa jj aa 
kalité 1.0	kk aa ll ii 
kalité 1.0	kk aa ll ii tt 
kan 1.0	kk an 
kan 1.0	kk an nn 
kanalizé 1.0	kk aa nn aa ll ii 
kanalizé 1.0	kk aa nn aa ll ii zz 
kanaval 1.0	kk aa nn aa vv aa ll 
kanavalèks 1.0	kk aa nn aa vv aa ll 
kanlo 1.0	kk an ll au 
kanmem 1.0	kk an mm ai mm 
kanmen 1.0	kk an mm ai nn 
kanmèm 1.0	kk an mm 
kann 1.0	kk an nn 
kantil 1.0	kk an tt ii 
kapab 1.0	kk aa pp aa bb 
kapasité 1.0	kk aa pp aa zz ii 
kapasité 1.0	kk aa pp aa zz ii tt 
kapestè 1.0	kk aa pp ai ss tt 
kapital 1.0	kk aa pp ii tt aa ll 
karant 1.0	kk aa rr an 
karant 1.0	kk aa rr an tt 
karèm 1.0	kk aa rr 
karé 1.0	kk aa rr 
karéman 1.0	kk aa rr 
karòt 1.0	kk aa rr 
kasav 1.0	kk aa zz aa vv 
kasavri 1.0	kk aa zz aa vv rr ii 
kat 1.0	kk aa 
kat 1.0	kk aa tt 
katégori 1.0	kk aa 
katégori 1.0	kk aa tt 
kay 1.0	kk aa ii 
kayou 1.0	kk ai yy ou 
kaz 1.0	kk aa 
kaz 1.0	kk aa zz 
ke 1.0	kk 
ke 1.0	kk ee 
keki 1.0	kk ee kk ii 
keki 1.0	kk kk ii 
ken 1.0	kk ai nn 
kfc 1.0	kk ff kk 
ki 1.0	kk ii 
kiki 1.0	kk ii kk ii 
kilinè 1.0	kk ii ll in 
kilinè 1.0	kk ii ll in nn 
kilti 1.0	kk ii ll tt ii 
kiltirèl 1.0	kk ii ll tt ii rr 
kiltivé 1.0	kk ii ll tt ii vv 
kilè 1.0	kk ii ll 
kimbè-w 1.0	kk in 
kimbé 1.0	kk in 
king 1.0	kk ii nn gg 
king 1.0	kk ii nn gg kk 
kitty 1.0	kk ii tt ii 
klakèt 1.0	kk ll aa kk 
klan 1.0	kk ll an 
klan 1.0	kk ll an nn 
klassik 1.0	kk ll aa ss ii kk 
klima 1.0	kk ll ii mm aa 
klip 1.0	kk ll ii 
klip 1.0	kk ll ii pp 
klux 1.0	kk ll uu 
klux 1.0	kk ll uu zz 
ko 1.0	kk au 
kochon 1.0	kk oo ch on 
kochon 1.0	kk oo ch on nn 
kolombo 1.0	kk oo ll on bb au 
kolonbo 1.0	kk oo ll on bb au 
koloni 1.0	kk oo ll oo nn ii 
kolé 1.0	kk oo ll 
kom 1.0	kk on 
komin 1.0	kk oo mm in 
komin 1.0	kk oo mm in nn 
kominiké 1.0	kk oo mm ii nn ii kk 
kominotaris 1.0	kk oo mm ii nn oo tt aa rr ii 
kominotaris 1.0	kk oo mm ii nn oo tt aa rr ii zz 
komun 1.0	kk oo mm un 
komun 1.0	kk oo mm un nn 
komunoté 1.0	kk oo mm uu nn au 
komunoté 1.0	kk oo mm uu nn au tt 
komè- 1.0	kk on 
kon 1.0	kk on 
kon 1.0	kk on nn 
konba 1.0	kk on bb aa 
konbat 1.0	kk on bb aa 
konbat 1.0	kk on bb aa tt 
konbyen 1.0	kk on bb yy in 
konbyen 1.0	kk on bb yy in nn 
kondi 1.0	kk on dd ii 
kondisyon 1.0	kk on dd ii zz yy on 
kondisyon 1.0	kk on dd ii zz yy on nn 
kondisyoné 1.0	kk on dd ii zz yy on 
kondisyoné 1.0	kk on dd ii zz yy on nn 
konet 1.0	kk oo nn ai 
konet 1.0	kk oo nn ai tt 
konfimé 1.0	kk on ff ii mm 
konfyans 1.0	kk on ff yy an 
konfyans 1.0	kk on ff yy an zz 
kongo 1.0	kk on gg au 
konkonsa 1.0	kk on kk on ss aa 
konkou 1.0	kk on kk ou 
konnèt 1.0	kk on nn 
konolyalis 1.0	kk oo nn oo ll yy aa ll ii 
konolyalis 1.0	kk oo nn oo ll yy aa ll ii zz 
konparézon 1.0	kk on pp aa rr 
konplètman 1.0	kk on pp ll 
konplètman 1.0	kk on pp ll ee 
konprann 1.0	kk on pp rr an nn 
konpétiti- 1.0	kk on pp 
konpétivité 1.0	kk on pp 
konsa 1.0	kk on ss aa 
konsi 1.0	kk on ss ii 
konsidéré 1.0	kk on ss ii 
konsidéré 1.0	kk on ss ii tt 
konsidéréw 1.0	kk on ss ii 
konsidéréw 1.0	kk on ss ii tt 
konsomasyon 1.0	kk on ss oo mm aa zz yy on 
konsomasyon 1.0	kk on ss oo mm aa zz yy on nn 
konsomé 1.0	kk on ss on 
konsomé-y 1.0	kk on ss on 
konstaté 1.0	kk on ss tt aa 
konstaté 1.0	kk on ss tt aa tt 
konstrui 1.0	kk on ss tt rr uy ii 
konsèvé 1.0	kk on 
konsèvé 1.0	kk on zz 
konsèvé-y 1.0	kk on 
konsèvé-y 1.0	kk on zz 
konsèvéé 1.0	kk on 
konsèvéé 1.0	kk on zz 
konséyéw 1.0	kk on 
konséyéw 1.0	kk on zz 
kont 1.0	kk on 
kont 1.0	kk on tt 
kontan 1.0	kk on tt an 
kontan 1.0	kk on tt an nn 
konti 1.0	kk on tt ii 
kontinan 1.0	kk on tt ii nn an 
kontinan 1.0	kk on tt ii nn an nn 
kontinyé 1.0	kk on tt ii nn ii 
kontrolé 1.0	kk on tt rr oo ll 
kontrèman 1.0	kk on tt rr 
kontrèman 1.0	kk on tt rr ee 
konté 1.0	kk on 
konté 1.0	kk on tt 
konwa 1.0	kk on ww aa 
konyè 1.0	kk oo nn ii 
konyé 1.0	kk oo nn ii 
konèt 1.0	kk on 
konèt 1.0	kk on nn 
kostim 1.0	kk oo ss tt ii mm 
kotidyen 1.0	kk oo tt ii dd yy in 
kotidyen 1.0	kk oo tt ii dd yy in nn 
koté 1.0	kk au 
koté 1.0	kk au tt 
kotéan 1.0	kk au 
kotéan 1.0	kk au tt 
kou 1.0	kk ou 
koujèt 1.0	kk ou jj 
koul 1.0	kk ou ll 
koulé 1.0	kk ou ll 
koumansé 1.0	kk ou mm an 
koumansé 1.0	kk ou mm an zz 
kouraj 1.0	kk ou rr aa jj 
kouran 1.0	kk ou rr an 
kouran 1.0	kk ou rr an nn 
kouri 1.0	kk ou rr ii 
kous 1.0	kk ou 
kous 1.0	kk ou zz 
koustiyan 1.0	kk ou ss tt ii yy an 
koustiyan 1.0	kk ou ss tt ii yy an nn 
kout 1.0	kk ou 
kout 1.0	kk ou tt 
kouté 1.0	kk ou 
kouté 1.0	kk ou tt 
kouw 1.0	kk ou ww 
kouzen 1.0	kk ou zz ai nn 
kouzin 1.0	kk ou zz in 
kouzin 1.0	kk ou zz in nn 
koz 1.0	kk oo 
koz 1.0	kk oo zz 
kribich 1.0	kk rr ii bb ii ch 
kriyé 1.0	kk rr ii ii 
kriyé-y 1.0	kk rr ii ii 
krèm 1.0	kk rr 
krèp 1.0	kk rr 
kréyativé 1.0	kk rr 
kréyé 1.0	kk rr 
kréyòl 1.0	kk rr 
kréòl 1.0	kk rr 
ku 1.0	kk uu 
kuit 1.0	kk uy ii 
kuit 1.0	kk uy ii tt 
kuizin 1.0	kk uy ii zz in 
kuizin 1.0	kk uy ii zz in nn 
kuiziné 1.0	kk uy ii zz in 
kuiziné 1.0	kk uy ii zz in nn 
kultur 1.0	kk uu ll tt uu rr 
kwa 1.0	kk ww aa 
kè 1.0	kk aa 
kès 1.0	kk aa 
ké 1.0	kk aa 
kéki 1.0	kk aa 
késtyon 1.0	kk aa 
késyon 1.0	kk aa 
kò 1.0	kk aa 
kòd 1.0	kk aa 
kòk 1.0	kk aa 
kòm 1.0	kk aa 
kòman 1.0	kk aa 
kòmè- 1.0	kk aa 
kòmèsyal 1.0	kk aa 
kòmèsé 1.0	kk aa 
l 1.0	ai ll 
l'air 1.0	ll ai rr 
l'amener 1.0	ll aa mm ee nn ei 
l'amener 1.0	ll aa mm nn ei 
l'apprentissage 1.0	ll aa pp rr an tt ii ss aa jj 
l'aprentissage 1.0	ll aa pp rr an tt ii ss aa jj 
l'extérieur 1.0	ll ai kk ss 
l'extérieur 1.0	ll ai kk ss tt 
l'histoire 1.0	ll ii ss tt ww aa rr 
l'historique 1.0	ll ii ss tt oo rr ii kk 
l'homme 1.0	ll oo mm 
l'inra 1.0	ll in rr aa 
l'état 1.0	ll 
la 1.0	ll aa 
labaz 1.0	ll aa bb aa 
labaz 1.0	ll aa bb aa zz 
labitid 1.0	ll aa bb ii tt ii 
labitid 1.0	ll aa bb ii tt ii tt 
ladominik 1.0	ll aa dd oo mm ii nn ii kk 
ladézirad 1.0	ll aa dd 
ladézirad 1.0	ll aa dd tt 
lafan 1.0	ll aa ff an 
lafan 1.0	ll aa ff an nn 
lafanmi 1.0	ll aa ff an mm ii 
lafen 1.0	ll aa ff ai nn 
lafrans 1.0	ll aa ff rr an 
lafrans 1.0	ll aa ff rr an zz 
lafòs 1.0	ll aa ff 
laguadeloup 1.0	ll aa gg ww aa dd ee ll ou 
laguadeloup 1.0	ll aa gg ww aa dd ee ll ou pp 
laguadeloup 1.0	ll aa gg ww aa dd ll ou 
laguadeloup 1.0	ll aa gg ww aa dd ll ou pp 
lagwadloup 1.0	ll aa gg ww aa dd ll ou 
lagwadloup 1.0	ll aa gg ww aa dd ll ou pp 
lagé-y 1.0	ll aa gg 
lagé-y 1.0	ll aa gg kk 
laise 1.0	ll ai zz 
laissent 1.0	ll ai ss 
laissent 1.0	ll ai ss tt 
laj 1.0	ll aa jj 
lajan 1.0	ll aa jj an 
lajan 1.0	ll aa jj an nn 
lajòl 1.0	ll aa jj 
lakanaval 1.0	ll aa kk aa nn aa vv aa ll 
lakanpay 1.0	ll aa kk an pp aa ii 
lakay 1.0	ll aa kk aa ii 
lakaz 1.0	ll aa kk aa 
lakaz 1.0	ll aa kk aa zz 
lakilti 1.0	ll aa kk ii ll tt ii 
lala 1.0	ll aa ll aa 
lamen 1.0	ll aa mm ai nn 
lan 1.0	ll an 
lan 1.0	ll an nn 
lanati 1.0	ll aa nn aa tt ii 
lanbi 1.0	ll an bb ii 
landémen 1.0	ll an dd 
landémen 1.0	ll an dd tt 
lang 1.0	ll an 
lang 1.0	ll an kk 
langage 1.0	ll an gg aa jj 
langaj 1.0	ll an gg aa jj 
langoust 1.0	ll an gg ou ss tt 
langue 1.0	ll an gg 
langues 1.0	ll an gg 
langues 1.0	ll an gg zz 
lanmen 1.0	ll an mm ai nn 
lanmè 1.0	ll an mm 
lanmèd 1.0	ll an mm 
lanné 1.0	ll an nn 
lansrokèt 1.0	ll an ss rr oo kk 
lantman 1.0	ll an tt mm an 
lantman 1.0	ll an tt mm an nn 
lanvironman 1.0	ll an vv ii rr on mm an 
lanvironman 1.0	ll an vv ii rr on mm an nn 
lané 1.0	ll an 
lané 1.0	ll an nn 
lapansé 1.0	ll aa pp an 
lapansé 1.0	ll aa pp an zz 
laparèt 1.0	ll aa pp aa rr 
laplaj 1.0	ll aa pp ll aa jj 
laplipa 1.0	ll aa pp ll ii pp aa 
lapolis 1.0	ll aa pp oo ll ii 
lapolis 1.0	ll aa pp oo ll ii zz 
laprizon 1.0	ll aa pp rr ii zz on 
laprizon 1.0	ll aa pp rr ii zz on nn 
lapromès 1.0	ll aa pp rr on 
lapèn 1.0	ll aa 
lapèn 1.0	ll aa pp 
lari 1.0	ll aa rr ii 
larivyè 1.0	ll aa rr ii vv ii 
larètrèt 1.0	ll aa rr 
larézistanlarezistan 1.0	ll aa rr 
las 1.0	ll aa 
las 1.0	ll aa zz 
lasé 1.0	ll aa 
lasé 1.0	ll aa zz 
latravèsé 1.0	ll aa tt rr aa vv 
latélé 1.0	ll aa 
latélé 1.0	ll aa tt 
lavantaj 1.0	ll aa vv an tt aa jj 
lavi 1.0	ll aa vv ii 
lavwazen 1.0	ll aa vv ww aa zz ai nn 
lavé 1.0	ll aa vv 
le 1.0	ll 
le 1.0	ll ee 
lekstériyè 1.0	ll ai kk ss tt 
lekszitwa 1.0	ll ai kk ss zz ii tt ww aa 
lendi 1.0	ll an dd ii 
lendistri 1.0	ll an dd ii ss tt rr ii 
lenflyans 1.0	ll an ff ll yy an 
lenflyans 1.0	ll an ff ll yy an zz 
lenguistik 1.0	ll an gg ii ss tt ii kk 
lenj 1.0	ll an jj 
lenprézyon 1.0	ll an pp rr 
lenprézyon 1.0	ll an pp rr ee 
lenstan 1.0	ll an ss tt an 
lenstan 1.0	ll an ss tt an nn 
lentènèt 1.0	ll an 
lentènèt 1.0	ll an tt 
les 1.0	ll ei 
les 1.0	ll ei zz 
lesklavaj 1.0	ll ai ss kk ll aa vv aa jj 
lespòtasyon 1.0	ll ai ss pp 
lestomak 1.0	ll ai ss tt oo mm aa kk 
lettre 1.0	ll ai tt rr 
lettre 1.0	ll ai tt rr ee 
lettres 1.0	ll ai tt rr 
lettres 1.0	ll ai tt rr zz 
li 1.0	ll ii 
libéré 1.0	ll ii bb 
licence 1.0	ll ii ss an ss 
lidik 1.0	ll ii dd ii kk 
lignes 1.0	ll ii nn yy 
lignes 1.0	ll ii nn yy zz 
lil 1.0	ll ii ll 
lille 1.0	ll ii yy 
limit 1.0	ll ii mm ii 
limit 1.0	ll ii mm ii tt 
linivèsité 1.0	ll ii nn ii vv 
lité 1.0	ll ii 
lité 1.0	ll ii tt 
livèr 1.0	ll ii vv 
lizin 1.0	ll ii zz in 
lizin 1.0	ll ii zz in nn 
lo 1.0	ll au 
lojé 1.0	ll oo jj 
lokasyon 1.0	ll oo kk aa zz yy on 
lokasyon 1.0	ll oo kk aa zz yy on nn 
lontan 1.0	ll on tt an 
lontan 1.0	ll on tt an nn 
lot 1.0	ll au 
lot 1.0	ll au tt 
lou 1.0	ll ou 
lwen 1.0	ll ww ai nn 
lwil 1.0	ll ww ii ll 
là 1.0	ai ll 
lè 1.0	ai ll 
lèkòl 1.0	ai ll 
lèson 1.0	ai ll 
lèsé 1.0	ai ll 
lèt 1.0	ai ll 
lèv 1.0	ai ll 
lèzòm 1.0	ai ll 
lé 1.0	ai ll 
léana 1.0	ai ll 
léfiji 1.0	ai ll 
lékomès 1.0	ai ll 
lékzamen 1.0	ai ll 
lékòl 1.0	ai ll 
lémond 1.0	ai ll 
lépok 1.0	ai ll 
lépòk 1.0	ai ll 
lérélasyon 1.0	ai ll 
lésent 1.0	ai ll 
lésé 1.0	ai ll 
lésé-y 1.0	ai ll 
lété 1.0	ai ll 
lévolisyon 1.0	ai ll 
lévé 1.0	ai ll 
lévé-y 1.0	ai ll 
léwop 1.0	ai ll 
léwoz 1.0	ai ll 
lò 1.0	ai ll 
lòganizasyon 1.0	ai ll 
lòt 1.0	ai ll 
m 1.0	ai mm 
ma 1.0	mm aa 
madanm 1.0	mm aa dd an mm 
madi 1.0	mm aa dd ii 
madras 1.0	mm aa dd rr aa ss 
madè 1.0	mm aa 
madè 1.0	mm aa tt 
mais 1.0	mm ai 
mais 1.0	mm ai zz 
maison 1.0	mm ai zz on 
maison 1.0	mm ai zz on nn 
maji 1.0	mm aa jj ii 
mal 1.0	mm aa ll 
malcom 1.0	mm aa ll kk on 
malgré 1.0	mm aa ll gg rr 
malgré 1.0	mm aa ll gg rr ee 
malélivé 1.0	mm aa ll 
maléré 1.0	mm aa ll 
malérézman 1.0	mm aa ll 
mamatè 1.0	mm aa mm aa 
mamatè 1.0	mm aa mm aa tt 
man 1.0	mm an 
man 1.0	mm an nn 
manch 1.0	mm an ch 
mandé 1.0	mm an 
mandé 1.0	mm an tt 
mandé-w 1.0	mm an 
mandé-w 1.0	mm an tt 
mandé-y 1.0	mm an 
mandé-y 1.0	mm an tt 
manjé 1.0	mm an jj 
manjé-y 1.0	mm an jj 
manman 1.0	mm an mm an 
manman 1.0	mm an mm an nn 
manman-w 1.0	mm an mm an dd ou bb ll ee vv ei 
manman-w 1.0	mm an mm an dd ou bb ll vv ei 
manman-y 1.0	mm an mm an ii 
manno 1.0	mm aa nn au 
mannyè 1.0	mm aa nn ii 
mannyòk 1.0	mm aa nn ii 
mantal 1.0	mm an tt aa ll 
manyòk 1.0	mm aa nn ii 
marché 1.0	mm aa rr ch 
marché 1.0	mm aa rr ch ee 
mardi 1.0	mm aa rr dd ii 
mardigras 1.0	mm aa rr dd ii gg rr aa 
mardigras 1.0	mm aa rr dd ii gg rr aa zz 
marie- 1.0	mm aa rr ii 
marie-galantais 1.0	mm aa rr ii ee gg aa ll an tt ai 
marie-galantais 1.0	mm aa rr ii ee gg aa ll an tt ai zz 
marie-galantais 1.0	mm aa rr ii gg aa ll an tt ai 
marie-galantais 1.0	mm aa rr ii gg aa ll an tt ai zz 
marie-galantaise 1.0	mm aa rr ii ee gg aa ll an tt ai zz 
marie-galantaise 1.0	mm aa rr ii gg aa ll an tt ai zz 
marie-galante 1.0	mm aa rr ii ee gg aa ll an tt 
marie-galante 1.0	mm aa rr ii gg aa ll an tt 
marie-galantè 1.0	mm aa rr ii ee gg aa ll an 
marie-galantè 1.0	mm aa rr ii ee gg aa ll an tt 
marie-galantè 1.0	mm aa rr ii gg aa ll an 
marie-galantè 1.0	mm aa rr ii gg aa ll an tt 
marigalantè 1.0	mm aa rr ii gg aa ll an 
marigalantè 1.0	mm aa rr ii gg aa ll an tt 
marigalentèz 1.0	mm aa rr ii gg aa ll an 
marigalentèz 1.0	mm aa rr ii gg aa ll an tt 
